成员,总选前直播日期,总时间（分）,总选后直播日期,总时间（分）,前后时间比例
李艺彤,7-9 7-14 7-19 7-27,206±50,7-31 8-4 8-8,147±40,≈1.40
黄婷婷,,0±0,,0±0,亭亭净植
冯薪朵,7-16 7-26,75±20,,0±0,总选后不直播
陆婷,7-11 7-16 7-26,94±40,,0±0,总选后不直播
莫寒,7-15 7-17 7-20,138±30,7-29 8-3 8-7,207±30,≈0.67
赵粤,7-26 7-27,149±20,7-28,54±10,≈2.76
许佳琪,7-21 7-27,21±20,,0±0,总选后不直播
戴萌,7-9 7-12 7-13 7-20 7-21 7-27,215±70,7-28 8-2 8-3 8-7,128±50,≈1.68
钱蓓婷,7-8 7-14 7-15 7-16 7-17 7-19 7-20 7-25 7-27,470±150,7-31 8-1 8-7 8-8,195±50,≈2.41
林思意,,0±0,7-28,30±20,≈0.00
谢蕾蕾,7-8 7-9 7-15 7-17 7-18 7-19 7-21 7-23 7-25 7-27,424±150,8-1 8-2,69±30,≈6.14
吴哲晗,7-16 7-17 7-20 7-21 7-25 7-27,290±70,8-2,21±10,≈13.81
孔肖吟,7-9 7-14 7-16 7-20 7-21 7-26 7-27,293±100,8-8,32±10,≈9.16
苏杉杉,7-11 7-14 7-17 7-19 7-25 7-27,373±70,8-2 8-5 8-7,117±40,≈3.19
段艺璇,7-9 7-10 7-11 7-14 7-16 7-19 7-25 7-27,624±150,7-30 7-31 8-2 8-4 8-5 8-7,511±130,≈1.22
张语格,7-14 7-20,165±20,8-2,63±10,≈2.62
