livestream_id,member_id,member_name,date,start_timestamp,fist_seen_timestamp,last_seen_timestamp
5a0ee7640cf27491f39f7326,327594,李想,2017-11-17,1510926177761,1510926601000,1510926601000
5a4244ae0cf2414183ce0246,327594,李想,2017-12-26,1514292398331,1514292601000,1514297401000
5a425a860cf2016a84044718,327594,李想,2017-12-26,1514297990787,1514298001000,1514298001000
5a46554e0cf2016a8404478f,327594,李想,2017-12-29,1514558796485,1514559001000,1514559001000
5a4657ed0cf2016a84044791,327594,李想,2017-12-29,1514559467825,1514559601000,1514563201000
5a50e9700cf2654a3ace3d08,327594,李想,2018-01-06,1515252077767,1515252601000,1515254401000
5a5f4cf00cf2cf270ea945da,327594,李想,2018-01-17,1516195051685,1516195201000,1516195801000
5a8585fd0cf299177c745233,327594,李想,2018-02-15,1518700029332,1518700201000,1518703201000
5a8d624b0cf299177c7452e6,327594,李想,2018-02-21,1519215179444,1519215601000,1519224001000
5a9297060cf29aa343fbe187,327594,李想,2018-02-25,1519556358402,1519556401000,1519560601000
5ae468310cf2132c9f455273,327594,李想,2018-04-28,1524918321622,1524918601000,1524922201000
5b278c830cf2879430de1f36,327594,李想,2018-06-18,1529318531378,1529319001000,1529322001000
