成员,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,总天数
张怀瑾,6,7,7,2,1,5,5,12,45
陈珂,17,7,5,4,3,6,8,10,60
马玉灵,3,4,6,3,2,1,5,4,28
唐莉佳,5,6,5,9,6,7,5,13,56
陈倩楠,3,5,4,7,2,2,5,5,33
黄恩茹,3,5,4,2,1,3,5,3,26
胡晓慧,6,13,8,3,6,5,7,13,61
李宇琪,3,0,1,0,0,0,0,1,5
李钊,4,1,5,4,3,1,4,7,29
左婧媛,6,10,8,7,8,5,9,18,71
陈美君,0,8,0,2,2,1,6,9,28
洪珮雲,6,7,2,6,2,2,3,4,32
徐诗琪,6,4,4,3,5,4,7,10,43
赵佳蕊,15,12,7,8,9,8,5,20,84
青钰雯,10,14,10,9,5,5,9,12,74
王诗蒙,3,10,6,6,3,4,6,18,56
