成员,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,总天数
沈梦瑶,0,0,1,0,1,0,1,14,17
肖文铃,9,8,9,7,7,8,10,12,70
卢静,16,8,10,14,6,1,5,10,70
许杨玉琢,5,4,7,2,6,10,9,18,61
王雨煊,2,0,0,1,2,2,0,1,8
谢妮,2,1,3,2,1,3,3,2,17
刘倩倩,9,7,8,4,3,4,4,10,49
孙珍妮,3,1,2,0,2,3,3,7,21
李梓,1,1,3,4,1,0,1,5,16
高源婧,9,8,5,8,3,5,5,7,50
刘姝贤,7,12,7,5,3,3,6,7,50
葛司琪,6,6,4,4,6,5,8,12,51
张琼予,7,4,3,6,2,7,5,17,51
蒋芸,7,5,4,3,2,5,5,8,39
袁雨桢,6,7,4,4,4,2,3,5,35
祁静,1,3,0,3,3,2,5,2,19
闫明筠,4,8,3,0,1,1,2,9,28
胡丽芝,9,11,5,5,7,6,11,18,72
