成员,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,总天数
李艺彤,8,1,4,4,5,5,6,7,40
黄婷婷,1,1,0,0,0,0,0,0,2
冯薪朵,2,4,2,1,2,1,2,3,17
陆婷,1,1,0,1,1,1,0,4,9
莫寒,6,8,4,5,4,4,6,7,44
赵粤,2,2,4,6,1,1,4,5,25
许佳琪,4,3,1,0,1,0,0,5,14
戴萌,8,6,9,7,7,7,8,8,60
钱蓓婷,9,9,8,11,3,4,6,15,65
林思意,0,6,3,1,0,1,2,1,14
谢蕾蕾,14,3,7,5,4,5,4,12,54
吴哲晗,7,1,0,1,1,6,2,7,25
孔肖吟,3,1,1,2,0,0,1,8,16
苏杉杉,1,3,0,1,3,2,9,8,27
段艺璇,11,17,11,9,6,7,10,11,82
张语格,2,2,1,2,2,4,4,2,19
